val,date,n,SMA30,SMA60,SMA90,SMA180,EMA,EMA0.3
,2019-11-13,1,,,,,,
,2019-11-14,2,,,,,,
,2019-11-15,3,,,,,,
,2019-11-16,4,,,,,,
,2019-11-17,5,,,,,,
210.18548461067488,2019-11-18,6,210.18548461067488,210.18548461067488,210.18548461067488,210.18548461067488,210.18548461067488,210.18548461067488
1728.7279636924452,2019-11-19,7,969.45672415156,969.45672415156,969.45672415156,969.45672415156,362.0397325188519,665.7482283352059
1216.2046249908396,2019-11-20,8,1051.70602443132,1051.70602443132,1051.70602443132,1051.70602443132,447.4562217660507,830.885147331896
1811.6583700609688,2019-11-21,9,1241.694110838732,1241.694110838732,1241.694110838732,1241.694110838732,583.8764365955425,1125.117114150618
4657.88283270133,2019-11-22,10,1924.9318552112516,1924.9318552112516,1924.9318552112516,1924.9318552112516,991.2770762061213,2184.9468297158314
2484.1753012953122,2019-11-23,11,2018.1390962252617,2018.1390962252617,2018.1390962252617,2018.1390962252617,1140.5668987150405,2274.7153711896754
3023.4187747626693,2019-11-24,12,2161.7504788734627,2161.7504788734627,2161.7504788734627,2161.7504788734627,1328.8520863198034,2499.3263922615733
4294.082051787871,2019-11-25,13,2428.291925487764,2428.291925487764,2428.291925487764,2428.291925487764,1625.3750828666102,3037.7530901194623
2499.810897255792,2019-11-26,14,2436.2384779064337,2436.2384779064337,2436.2384779064337,2436.2384779064337,1712.8186643055285,2876.3704322603608
2678.8414409190236,2019-11-27,15,2460.498774207693,2460.498774207693,2460.498774207693,2460.498774207693,1809.4209419668782,2817.111734857959
1660.3800839608793,2019-11-28,16,2387.7607114579823,2387.7607114579823,2387.7607114579823,2387.7607114579823,1794.5168561662783,2470.092239588835
1650.9696465626535,2019-11-29,17,2326.3614560500387,2326.3614560500387,2326.3614560500387,2326.3614560500387,1780.1621352059158,2224.3554616809806
1806.094812930607,2019-11-30,18,2286.3409450408512,2286.3409450408512,2286.3409450408512,2286.3409450408512,1782.755402978385,2098.8772670558683
1586.3010973311802,2019-12-01,19,2236.3380987758746,2236.3380987758746,2236.3380987758746,2236.3380987758746,1763.1099724136648,1945.1044161384618
1387.5315201307153,2019-12-02,20,2179.7509935328644,2179.7509935328644,2179.7509935328644,2179.7509935328644,1725.5521271853697,1777.8325473361378
780.2811033793175,2019-12-03,21,2092.2841253982674,2092.2841253982674,2092.2841253982674,2092.2841253982674,1631.0250248047646,1478.5671141490916
2320.6604610207696,2019-12-04,22,2105.718027493709,2105.718027493709,2105.718027493709,2105.718027493709,1699.9885684263652,1731.195118210595
406.5702047775062,2019-12-05,23,2011.3209262316975,2011.3209262316975,2011.3209262316975,2011.3209262316975,1570.6467320614793,1333.8076441806681
374.0953681814271,2019-12-06,24,1925.1511600185254,1925.1511600185254,1925.1511600185254,1925.1511600185254,1450.991595673474,1045.8939613808957
463.8653559480071,2019-12-07,25,1852.0868698149995,1852.0868698149995,1852.0868698149995,1852.0868698149995,1352.2789717009273,871.285379751029
548.2835337986658,2019-12-08,26,1790.0009966713649,1790.0009966713649,1790.0009966713649,1790.0009966713649,1271.879427910701,774.3848259653199
216.09018983081285,2019-12-09,27,1718.4595963604306,1718.4595963604306,1718.4595963604306,1718.4595963604306,1166.3005041027122,606.8964351249679
724.479259910542,2019-12-10,28,1675.2430599930442,1675.2430599930442,1675.2430599930442,1675.2430599930442,1122.1183796834953,642.1712825606401
409.9404987231211,2019-12-11,29,1622.522119940131,1622.522119940131,1622.522119940131,1622.522119940131,1050.900591587458,572.5020474093843
631.5429638888019,2019-12-12,30,1582.8829536980777,1582.8829536980777,1582.8829536980777,1582.8829536980777,1008.9648288175923,590.2143223532096
512.2123094080555,2019-12-13,31,1541.7033135330769,1541.7033135330769,1541.7033135330769,1541.7033135330769,959.2895768766386,566.8137184696634
618.2321227879937,2019-12-14,32,1507.5006768388146,1507.5006768388146,1507.5006768388146,1507.5006768388146,925.1838314677742,582.2392397651624
631.7852212672578,2019-12-15,33,1476.225124854116,1476.225124854116,1476.225124854116,1476.225124854116,895.8439704477225,597.103034215791
1108.0774185906434,2019-12-16,34,1463.5303763622721,1463.5303763622721,1463.5303763622721,1463.5303763622721,917.0673152620146,750.3953495282467
1924.5875026672672,2019-12-17,35,1478.8989472391052,1478.8989472391052,1478.8989472391052,1478.8989472391052,1017.8193340025399,1102.6529954699529
2255.440648499171,2019-12-18,36,1547.0741193687218,1503.948679537817,1503.948679537817,1503.948679537817,1141.581465452203,1448.4892913787182
1081.7995146704782,2019-12-19,37,1525.5098377346562,1490.7565181357127,1490.7565181357127,1490.7565181357127,1135.6032703740307,1338.482358366246
324.19749117609547,2019-12-20,38,1495.7762666074984,1455.406244591482,1455.406244591482,1455.406244591482,1054.4626924542372,1034.1968982092008
374.0008183024024,2019-12-21,39,1447.8543482155462,1423.6002026418032,1423.6002026418032,1423.6002026418032,986.4165050390537,836.1380742371612
904.8676140676178,2019-12-22,40,1322.7538409277556,1408.7792715396836,1408.7792715396836,1408.7792715396836,978.2616159419101,856.756936186298
671.4951192668135,2019-12-23,41,1262.3311681934724,1388.2991561987706,1388.2991561987706,1388.2991561987706,947.5849662744005,801.1783911104526
695.3840374900558,2019-12-24,42,1184.7300102843851,1369.5717205579945,1369.5717205579945,1369.5717205579945,922.364873395966,769.4400850243335
762.0771976427101,2019-12-25,43,1066.9965151462134,1353.5850225865397,1353.5850225865397,1353.5850225865397,906.3361058206405,767.2312188098465
