val,date
13.5733434404967,2020-09-18
12.84447027946342,2020-09-19
11.821669627609534,2020-09-20
12.065088201867162,2020-09-21
11.158282791171423,2020-09-22
12.161453079769895,2020-09-23
11.195294498764978,2020-09-24
11.038476411894992,2020-09-25
7.923401615578438,2020-09-26
10.91115256978509,2020-09-27
7.989426759618574,2020-09-28
8.820649581536799,2020-09-29
10.027096038173363,2020-09-30
10.96768372615258,2020-10-01
7.554895014658518,2020-10-02
5.024992674841219,2020-10-03
9.047459072435462,2020-10-04
10.496679461298845,2020-10-05
9.774237492500731,2020-10-06
10.895673219600845,2020-10-07
10.509939230135826,2020-10-08
9.80909854592142,2020-10-09
10.550482008033992,2020-10-10
9.994269255307923,2020-10-11
9.638247276849835,2020-10-12
8.147724570074457,2020-10-13
10.073545444584123,2020-10-14
9.082235602906806,2020-10-15
10.243572175993949,2020-10-16
7.770967411490647,2020-10-17
4.968333243518371,2020-10-18
6.170124462712803,2020-10-19
8.06200897185154,2020-10-20
9.57592568955111,2020-10-21
9.734233442855327,2020-10-22
8.156556348291097,2020-10-23
9.022838522713442,2020-10-24
8.885085219171193,2020-10-25
9.856160109840534,2020-10-26
9.451770783394148,2020-10-27
9.117276332334871,2020-10-28
9.120770270540138,2020-10-29
9.51324576127285,2020-10-30
8.247699096969413,2020-10-31
8.111481298397095,2020-11-01
9.275539771668097,2020-11-02
9.815759000040073,2020-11-03
8.508197859867481,2020-11-04
8.390194987300152,2020-11-05
9.93583998905758,2020-11-06
10.296480591704618,2020-11-07
9.81428438745919,2020-11-08
8.922918618923145,2020-11-09
8.075746821639108,2020-11-10
9.661915751915464,2020-11-11
9.159622930961213,2020-11-12
10.62729082494502,2020-11-13
9.924891428173233,2020-11-14
10.821222689673707,2020-11-15
9.925768737971095,2020-11-16
10.50289355256997,2020-11-17
9.511990795478738,2020-11-18
10.34817964626695,2020-11-19
9.74724492227434,2020-11-20
7.7469156156565635,2020-11-21
9.66392472605964,2020-11-22
9.50285950697198,2020-11-23
9.964556461169911,2020-11-24
4.824928288273396,2020-11-25
9.612893080458004,2020-11-26
9.591953448878373,2020-11-27
8.555981019546678,2020-11-28
7.972120674893353,2020-11-29
8.646595387295374,2020-11-30
8.834821875033105,2020-12-01
9.669465238811828,2020-12-02
9.421335417807306,2020-12-03
8.375675172048549,2020-12-04
9.411688376935109,2020-12-05
7.89886222350029,2020-12-06
8.971005878682709,2020-12-07
8.850133504332607,2020-12-08
7.48462958063846,2020-12-09
8.584849165791411,2020-12-10
8.939862333735727,2020-12-11
9.289703759352731,2020-12-12
8.816554310611195,2020-12-13
9.398547132173949,2020-12-14
8.441662762548564,2020-12-15
7.148069724458036,2020-12-16
9.685556569484266,2020-12-17
7.246167108654817,2020-12-18
10.211345412683444,2020-12-19
9.187021515711251,2020-12-20
9.39157667351051,2020-12-21
9.703137544183086,2020-12-22
9.26231831984152,2020-12-23
8.51938483781138,2020-12-24
9.17776830942099,2020-12-25
8.826229708763385,2020-12-26
9.143133064257627,2020-12-27
9.0322283852598,2020-12-28
5.403474997032549,2020-12-29
10.233317798561613,2020-12-30
10.787880289201462,2020-12-31
10.433092610477589,2021-01-01
10.459083626871717,2021-01-02
10.24381133401987,2021-01-03
10.205331879922056,2021-01-04
10.159970261440876,2021-01-05
9.757125516265392,2021-01-06
9.786763150156792,2021-01-07
8.782508706926754,2021-01-08
10.036041441802954,2021-01-09
9.898778785067671,2021-01-10
7.857465300411675,2021-01-11
9.878939729973068,2021-01-12
9.442621574764065,2021-01-13
10.202670221761885,2021-01-14
10.01653697639576,2021-01-15
10.3483444475673,2021-01-16
10.380458023530668,2021-01-17
10.196856468152292,2021-01-18
