val,date
9000.86458258052,2020-11-29
6349.458117153451,2020-11-30
4565.99878873767,2020-12-01
10982.503202178294,2020-12-02
6238.364376982537,2020-12-03
8246.746318319962,2020-12-04
8233.792190124743,2020-12-05
8878.459674905846,2020-12-06
10339.034573714787,2020-12-07
11151.920282711142,2020-12-08
11113.617995429504,2020-12-09
12991.84560868012,2020-12-10
9503.20019726342,2020-12-11
10174.92609901393,2020-12-12
11024.890661557172,2020-12-13
8056.091847068879,2020-12-14
5976.8060626789775,2020-12-15
11312.136949099073,2020-12-16
13145.71728823582,2020-12-17
12010.133025378256,2020-12-18
11812.64837532077,2020-12-19
11962.865424954747,2020-12-20
12022.097047456244,2020-12-21
9969.45324045563,2020-12-22
6737.042895967274,2020-12-23
5670.1616596791855,2020-12-24
11336.149378327234,2020-12-25
8968.796440454724,2020-12-26
10330.229742535534,2020-12-27
6998.339065546856,2020-12-28
8277.530840026764,2020-12-29
10232.029117189515,2020-12-30
10754.98732635097,2020-12-31
3152.484798376814,2021-01-01
8817.626625700948,2021-01-02
11052.990057787856,2021-01-03
11580.286173883302,2021-01-04
10909.558489329467,2021-01-05
7655.813632038646,2021-01-06
10515.39719495243,2021-01-07
9295.786213663818,2021-01-08
8151.069663249174,2021-01-09
8981.19014221617,2021-01-10
10961.786407738851,2021-01-11
5243.882501637184,2021-01-12
6856.927506025816,2021-01-13
10228.723912673833,2021-01-14
13547.156279447634,2021-01-15
10890.416573860497,2021-01-16
11369.470771068996,2021-01-17
14259.664662990435,2021-01-18
8796.40809457829,2021-01-19
11447.461772313032,2021-01-20
12349.286084841146,2021-01-21
10312.813266965599,2021-01-22
9102.485875927006,2021-01-23
10572.659747138905,2021-01-24
8945.031197353253,2021-01-25
6648.690820585704,2021-01-26
9741.818799786523,2021-01-27
5696.209359318363,2021-01-28
7189.024430161819,2021-01-29
5770.505062605845,2021-01-30
13428.301291369491,2021-01-31
11310.349361730847,2021-02-01
5985.385464575627,2021-02-02
408.3843191954175,2021-02-03
559.7874173262659,2021-02-04
3562.399457469266,2021-02-05
7538.930026565357,2021-02-06
3057.3227197681363,2021-02-07
5412.863932636195,2021-02-08
3299.6458428865963,2021-02-09
10510.094671187875,2021-02-10
7283.068908846589,2021-02-11
4480.13168165358,2021-02-12
5463.571450445236,2021-02-13
4533.024726836059,2021-02-14
5524.750207996936,2021-02-15
7024.497640894616,2021-02-16
5934.170362773048,2021-02-17
6497.2168470569095,2021-02-18
9326.194862122835,2021-02-19
8378.45818674992,2021-02-20
7222.582066291859,2021-02-21
10282.73533365207,2021-02-22
11232.891209303289,2021-02-23
9244.221629663018,2021-02-24
8985.25390150717,2021-02-25
9213.504306533183,2021-02-26
8619.117853246718,2021-02-27
9194.358885769694,2021-02-28
7110.218500887457,2021-03-01
5060.3618914737135,2021-03-02
8527.62653552798,2021-03-03
7556.094499724538,2021-03-04
6478.066476722445,2021-03-05
8513.460849782243,2021-03-06
3261.914099281547,2021-03-07
2856.7166654989032,2021-03-08
5608.70448774226,2021-03-09
5013.896140660972,2021-03-10
5809.472450612799,2021-03-11
1647.6615454649977,2021-03-12
8785.576416556509,2021-03-13
2533.1803413652674,2021-03-14
2726.5176598892267,2021-03-15
3680.3521061665824,2021-03-16
6507.00770066903,2021-03-17
5559.593034612069,2021-03-18
5899.977124283335,2021-03-19
1489.8921233108108,2021-03-20
2860.6860830521346,2021-03-21
7644.312419003823,2021-03-22
9478.596512840457,2021-03-23
7303.8903213061285,2021-03-24
9117.224142822577,2021-03-25
6564.690469020052,2021-03-26
4714.158974187487,2021-03-27
4269.480746077091,2021-03-28
4114.001300632201,2021-03-29
7425.902551977347,2021-03-30
6775.864096500193,2021-03-31
5628.588516643511,2021-04-01
2780.4404242940586,2021-04-02
5603.698204422971,2021-04-03
4532.84725492211,2021-04-04
5164.046950910507,2021-04-05
7681.369189395264,2021-04-06
2911.5585313718243,2021-04-07
8100.862412419617,2021-04-08
3582.4037542005153,2021-04-09
6661.562440583428,2021-04-10
7367.452398856737,2021-04-11
6196.804206088939,2021-04-12
6192.121817540829,2021-04-13
7877.263861031072,2021-04-14
6859.727986693087,2021-04-15
3766.522003952009,2021-04-16
3207.7454580853264,2021-04-17
4890.4666860341595,2021-04-18
4132.483454472381,2021-04-19
6532.651755764695,2021-04-20
5811.039197774932,2021-04-21
9241.254105426537,2021-04-22
5572.268787128655,2021-04-23
6926.92479537412,2021-04-24
8859.293134669164,2021-04-25
4400.978440536186,2021-04-26
6832.852419823673,2021-04-27
3996.188537787868,2021-04-28
4167.178888781386,2021-04-29
2614.339066347322,2021-04-30
6238.217341536525,2021-05-01
6409.563391722218,2021-05-02
5753.518921462658,2021-05-03
9321.47815249123,2021-05-04
5759.355009132167,2021-05-05
6989.721471981641,2021-05-06
7200.161238275172,2021-05-07
8128.7791584006645,2021-05-08
8917.230601102707,2021-05-09
3370.0349445256684,2021-05-10
5672.997124302973,2021-05-11
8721.915189833953,2021-05-12
8153.5928148528565,2021-05-13
4287.624646549005,2021-05-14
6069.391108312113,2021-05-15
7938.356962525392,2021-05-16
2660.1108987245407,2021-05-17
7573.983328871309,2021-05-18
5233.368952895868,2021-05-19
7093.787851310612,2021-05-20
6947.321760372453,2021-05-21
5243.365269659835,2021-05-22
5960.871844354754,2021-05-23
6738.970169463919,2021-05-24
4144.165568367029,2021-05-25
3623.864465487663,2021-05-26
5503.081215997309,2021-05-27
6934.245527094116,2021-05-28
2393.1832305985063,2021-05-29
3007.4891010873635,2021-05-30
313.6531287801922,2021-05-31
1471.395272204693,2021-06-01
5693.858664192961,2021-06-02
5321.989134790383,2021-06-03
5653.762537253266,2021-06-04
3942.196917592717,2021-06-05
6094.202000281475,2021-06-06
3001.6089858932955,2021-06-07
8376.697206350183,2021-06-08
7386.485567797779,2021-06-09
4836.431331142387,2021-06-10
5514.140828973513,2021-06-11
6975.391058184134,2021-06-12
5109.508084223681,2021-06-13
5216.561571752081,2021-06-14
4911.879534303543,2021-06-15
5083.359443388736,2021-06-16
7276.1076358741475,2021-06-17
6689.954784150139,2021-06-18
5549.228184155753,2021-06-19
5824.126175177672,2021-06-20
5515.487407896832,2021-06-21
7800.569276274188,2021-06-22
6849.567881822627,2021-06-23
881.6787591228973,2021-06-24
6172.463598869478,2021-06-25
5812.284197265629,2021-06-26
4815.6237507636115,2021-06-27
5377.503499748105,2021-06-28
5382.635413917612,2021-06-29
5529.567327923049,2021-06-30
3257.365424844762,2021-07-01
5242.747939962812,2021-07-02
5065.873121041819,2021-07-03
3301.6424453901013,2021-07-04
5491.244894584579,2021-07-05
6440.073018307544,2021-07-06
2807.341379718711,2021-07-07
5024.426684479769,2021-07-08
5245.87473540713,2021-07-09
4996.480690494672,2021-07-10
3377.3844290301854,2021-07-11
4843.861115336964,2021-07-12
2282.614831801437,2021-07-13
4683.185453260162,2021-07-14
4593.36809297198,2021-07-15
4318.777572443709,2021-07-16
3398.8343057538846,2021-07-17
3159.048609277377,2021-07-18
5469.813044483758,2021-07-19
5298.3100733192405,2021-07-20
5484.936622284279,2021-07-21
4578.862080376588,2021-07-22
5698.419716203748,2021-07-23
3850.9371243541173,2021-07-24
3930.6446708038125,2021-07-25
5425.925357056303,2021-07-26
6487.510362425205,2021-07-27
4049.088460508448,2021-07-28
3441.7320572047315,2021-07-29
4803.434359981526,2021-07-30
3411.5095759383503,2021-07-31
2767.6285971620305,2021-08-01
6039.2148019446595,2021-08-02
4165.159038564595,2021-08-03
6303.830383825153,2021-08-04
837.2638305406083,2021-08-05
4413.803285739471,2021-08-06
6876.109827293,2021-08-07
6334.222876021322,2021-08-08
5469.669348451803,2021-08-09
6352.0199611939515,2021-08-10
4210.500098707602,2021-08-11
5819.338255346131,2021-08-12
4213.8006507163145,2021-08-13
2567.143477564031,2021-08-14
5082.009100694273,2021-08-15
3350.4868915084567,2021-08-16
6834.468605865079,2021-08-17
5497.408044403028,2021-08-18
4478.1309717573695,2021-08-19
1729.0194727932756,2021-08-20
2912.341734582439,2021-08-21
3766.172540610915,2021-08-22
3887.7224965658684,2021-08-23
385.1325015559502,2021-08-24
2291.758870035232,2021-08-25
5500.5459049174015,2021-08-26
4431.028220172756,2021-08-27
3253.8802426384427,2021-08-28
2563.5547316236584,2021-08-29
5584.3462782558745,2021-08-30
4176.952688668179,2021-08-31
4396.115670734866,2021-09-01
3196.731500919426,2021-09-02
3730.9503603940107,2021-09-03
3934.501650406384,2021-09-04
3123.977018103255,2021-09-05
4405.244618151202,2021-09-06
6610.8509695294715,2021-09-07
5918.011734805216,2021-09-08
3098.763576758023,2021-09-09
5969.398846089977,2021-09-10
4235.941901484209,2021-09-11
3571.1427442464487,2021-09-12
5682.570924599744,2021-09-13
4684.471718276224,2021-09-14
2747.617686739129,2021-09-15
3806.540265229096,2021-09-16
2771.388290699746,2021-09-17
4966.981980254364,2021-09-18
3360.9250945097488,2021-09-19
4543.630852546989,2021-09-20
4461.485717452383,2021-09-21
5849.801936043002,2021-09-22
2348.489092393035,2021-09-23
3814.726905642338,2021-09-24
3064.5225210767753,2021-09-25
2188.599078924562,2021-09-26
2990.843399958875,2021-09-27
4260.198275986505,2021-09-28
4066.692691413893,2021-09-29
2239.8135018075545,2021-09-30
3877.4496076944342,2021-10-01
2752.4658660046343,2021-10-02
3098.845729912844,2021-10-03
4139.915197982938,2021-10-04
3098.6979569096975,2021-10-05
5710.120039860278,2021-10-06
3090.8472176494365,2021-10-07
3555.203215075316,2021-10-08
2429.1788774764836,2021-10-09
4205.565571025624,2021-10-10
2904.2472155442224,2021-10-11
3800.9205294743006,2021-10-12
2691.88092383029,2021-10-13
2606.6074657806075,2021-10-14
4570.88513104597,2021-10-15
2949.030194202959,2021-10-16
4621.04351930729,2021-10-17
4318.220500913162,2021-10-18
4594.652216180059,2021-10-19
4458.214110298135,2021-10-20
4221.584307155327,2021-10-21
3277.673402958266,2021-10-22
3843.0909323894607,2021-10-23
2207.2380474838455,2021-10-24
4589.031241190831,2021-10-25
5011.320139950433,2021-10-26
6034.122442042375,2021-10-27
4241.816161479661,2021-10-28
2472.231975528801,2021-10-29
3105.573266535689,2021-10-30
3513.564031131278,2021-10-31
3378.298357602437,2021-11-01
6372.745911456642,2021-11-02
7208.283943088552,2021-11-03
943.9213487694672,2021-11-04
2707.7399103607972,2021-11-05
3696.8620686461954,2021-11-06
2194.2633755792435,2021-11-07
2073.2729194547383,2021-11-08
426.07908017295125,2021-11-09
5445.533427295713,2021-11-10
5845.775358810472,2021-11-11
2227.3690999866667,2021-11-12
2495.6185773550114,2021-11-13
3861.855671677774,2021-11-14
2993.737573687939,2021-11-15
4955.673510523709,2021-11-16
3310.6025055687137,2021-11-17
3136.8381906366235,2021-11-18
3575.778482750767,2021-11-19
3568.6305047736196,2021-11-20
2893.3109881886144,2021-11-21
2967.0308958874743,2021-11-22
5490.549348363992,2021-11-23
4887.257115635759,2021-11-24
4184.463626059194,2021-11-25
6172.367614058294,2021-11-26
3788.7804114184983,2021-11-27
2752.589867004311,2021-11-28
