val,date
3453.973514656742,2019-11-29
4176.248454398284,2019-11-30
7266.261336543146,2019-12-01
7279.4020880451335,2019-12-02
4987.494491413551,2019-12-03
4647.726072003813,2019-12-04
4489.461278840832,2019-12-05
3906.077712817263,2019-12-06
1992.4805972659144,2019-12-07
2764.8851017249294,2019-12-08
1633.5456947197276,2019-12-09
1234.7902342900911,2019-12-10
1303.961204513507,2019-12-11
3946.506597455561,2019-12-12
5579.12779779789,2019-12-13
4336.58433843927,2019-12-14
3655.6702494457036,2019-12-15
4661.0174093652095,2019-12-16
5143.687026860167,2019-12-17
3223.828554631474,2019-12-18
4499.564498692419,2019-12-19
3874.954926034335,2019-12-20
4207.988933350853,2019-12-21
3343.0354078527666,2019-12-22
3616.0594973454818,2019-12-23
4331.062173377271,2019-12-24
4374.4687436887,2019-12-25
4332.572140656007,2019-12-26
3962.6434466753512,2019-12-27
3580.809048912008,2019-12-28
1855.8503468037597,2019-12-29
3979.4037632336563,2019-12-30
4073.9423322207335,2019-12-31
3347.3601248692225,2020-01-01
3200.85570577452,2020-01-02
3334.269610225859,2020-01-03
1796.5763462611435,2020-01-04
4560.599021550679,2020-01-05
4549.725856534215,2020-01-06
3716.0977785686223,2020-01-07
4424.271190140675,2020-01-08
3880.1013027822096,2020-01-09
4277.7009215769895,2020-01-10
3859.6778924476894,2020-01-11
3139.912974466661,2020-01-12
3677.926738993561,2020-01-13
4981.439781469427,2020-01-14
4857.12001088101,2020-01-15
3737.984613144694,2020-01-16
4758.6993530621885,2020-01-17
5137.93974419873,2020-01-18
4961.859189065021,2020-01-19
2665.794107534765,2020-01-20
2765.4750171171077,2020-01-21
2577.0355979213464,2020-01-22
1702.8728383862242,2020-01-23
2364.8008050332696,2020-01-24
1559.0585325566967,2020-01-25
2333.3068094791124,2020-01-26
1772.0457832423517,2020-01-27
2884.1784399242392,2020-01-28
2412.7962239867206,2020-01-29
3001.6921680058513,2020-01-30
3403.7206576904227,2020-01-31
3586.1724281374504,2020-02-01
3667.7380826346575,2020-02-02
3809.257094822636,2020-02-03
3789.742514266923,2020-02-04
3670.343787925292,2020-02-05
3588.9725897580606,2020-02-06
4296.14169989342,2020-02-07
4161.389622225313,2020-02-08
4072.6906013659836,2020-02-09
5399.380283849917,2020-02-10
4886.609044368447,2020-02-11
5900.123003632071,2020-02-12
5403.61788607506,2020-02-13
4646.713937247304,2020-02-14
5239.037859086447,2020-02-15
5843.654410073633,2020-02-16
6018.714214126075,2020-02-17
5159.382126340341,2020-02-18
3471.743266914581,2020-02-19
190.91315243304192,2020-02-20
4693.368206752529,2020-02-21
4074.7693220336373,2020-02-22
3722.6658007355863,2020-02-23
4010.564125195877,2020-02-24
5687.716795611882,2020-02-25
5993.738513160924,2020-02-26
4452.911471624697,2020-02-27
5436.61028858885,2020-02-28
4841.13893730857,2020-02-29
4836.242455086958,2020-03-01
3523.3573020061453,2020-03-02
4469.578749595635,2020-03-03
5622.03266237654,2020-03-04
384.0085615273554,2020-03-05
4928.876235292964,2020-03-06
4206.582891321012,2020-03-07
3008.9926473022283,2020-03-08
3969.414842521663,2020-03-09
5457.7360456154365,2020-03-10
3083.4063450642216,2020-03-11
2588.8915708042045,2020-03-12
3960.7299744603074,2020-03-13
3316.7714655803566,2020-03-14
2760.085917065018,2020-03-15
3325.005926376913,2020-03-16
