val,date
,2019-11-13
,2019-11-14
,2019-11-15
,2019-11-16
,2019-11-17
210.18548461067488,2019-11-18
1728.7279636924452,2019-11-19
1216.2046249908396,2019-11-20
1811.6583700609688,2019-11-21
4657.88283270133,2019-11-22
2484.175301295312,2019-11-23
3023.4187747626693,2019-11-24
4294.082051787871,2019-11-25
2499.810897255792,2019-11-26
2678.841440919024,2019-11-27
1660.3800839608791,2019-11-28
1650.9696465626537,2019-11-29
1806.094812930607,2019-11-30
1586.3010973311802,2019-12-01
1387.5315201307153,2019-12-02
780.2811033793184,2019-12-03
2320.6604610207696,2019-12-04
406.5702047775062,2019-12-05
374.0953681814271,2019-12-06
463.8653559480071,2019-12-07
548.2835337986651,2019-12-08
216.09018983081285,2019-12-09
724.479259910542,2019-12-10
409.9404987231211,2019-12-11
631.5429638888019,2019-12-12
512.2123094080555,2019-12-13
618.2321227879937,2019-12-14
631.785221267257,2019-12-15
1108.0774185906448,2019-12-16
1924.5875026672672,2019-12-17
2255.440648499171,2019-12-18
1081.7995146704782,2019-12-19
324.19749117609547,2019-12-20
374.0008183024024,2019-12-21
904.8676140676178,2019-12-22
671.4951192668127,2019-12-23
695.3840374900558,2019-12-24
762.0771976427101,2019-12-25
817.8713684280492,2019-12-26
644.9987500142821,2019-12-27
1248.0197792082931,2019-12-28
1628.9009362430606,2019-12-29
1163.7971303974432,2019-12-30
403.0518681692935,2019-12-31
460.9657887854567,2020-01-01
1067.4449811735878,2020-01-02
849.0837837568292,2020-01-03
722.4597418850537,2020-01-04
1161.800769963661,2020-01-05
939.3095815373824,2020-01-06
1251.6898583192456,2020-01-07
1632.8722600647964,2020-01-08
1716.8076622871706,2020-01-09
1463.5481299924993,2020-01-10
1697.5084172306913,2020-01-11
1292.4638358852271,2020-01-12
1157.3458943809942,2020-01-13
2596.825777300792,2020-01-14
1587.3303084120555,2020-01-15
938.332530827136,2020-01-16
2739.9412913394067,2020-01-17
3616.823487983184,2020-01-18
2035.2129392753463,2020-01-19
683.0093202406109,2020-01-20
825.3138847544733,2020-01-21
857.9030052116094,2020-01-22
824.0167427315973,2020-01-23
1555.1361974673534,2020-01-24
913.9599017888077,2020-01-25
845.5215351283987,2020-01-26
975.5325165256596,2020-01-27
2185.8853239695345,2020-01-28
1680.1761500486216,2020-01-29
2552.640251506785,2020-01-30
2293.895208340069,2020-01-31
2088.175509337261,2020-02-01
2730.6731464324275,2020-02-02
2077.673722924339,2020-02-03
1904.168916370632,2020-02-04
2574.718441003576,2020-02-05
3253.9140130791925,2020-02-06
1850.877392500044,2020-02-07
2028.300516773903,2020-02-08
1606.0309403544911,2020-02-09
2454.491930123104,2020-02-10
3459.162914446143,2020-02-11
5599.166061466294,2020-02-12
4858.536483931838,2020-02-13
4768.797276246729,2020-02-14
3750.9767062128567,2020-02-15
5742.735122850305,2020-02-16
6330.216415063564,2020-02-17
3382.1259203559653,2020-02-18
3241.468251338246,2020-02-19
3355.5932939786594,2020-02-20
1834.519715756693,2020-02-21
1284.405204966009,2020-02-22
1702.650179537647,2020-02-23
2119.8031378594314,2020-02-24
2591.279830657337,2020-02-25
5567.963143523137,2020-02-26
4488.590589145751,2020-02-27
3822.037006461439,2020-02-28
2467.2724003498743,2020-02-29
2956.62432749918,2020-03-01
2250.276016386581,2020-03-02
1883.217075816989,2020-03-03
1939.263666333045,2020-03-04
1991.0211474987425,2020-03-05
1132.0240517870434,2020-03-06
1808.3888899175029,2020-03-07
3785.153485780343,2020-03-08
4844.795176351493,2020-03-09
2962.167896598408,2020-03-10
3221.2527143370594,2020-03-11
6758.890477986294,2020-03-12
6397.186418762371,2020-03-13
2827.8330257392167,2020-03-14
3771.657698406764,2020-03-15
4957.420557664796,2020-03-16
2265.741956098834,2020-03-17
1340.3697279627252,2020-03-18
1317.7309331218332,2020-03-19
2434.403590011821,2020-03-20
1780.7284867516632,2020-03-21
2150.7043367157457,2020-03-22
1359.7503807616854,2020-03-23
1960.8053160459588,2020-03-24
1432.40450037953,2020-03-25
140.14094857482553,2020-03-26
1311.0090036190336,2020-03-27
2167.4231876666054,2020-03-28
1550.685016850879,2020-03-29
1588.9257692928866,2020-03-30
1154.25885381651,2020-03-31
981.5642553842368,2020-04-01
1122.0600155103964,2020-04-02
1521.987692032209,2020-04-03
1017.5271468160378,2020-04-04
882.7656956677743,2020-04-05
3017.842427631017,2020-04-06
2950.723502104669,2020-04-07
2974.161123577868,2020-04-08
1578.0015054725468,2020-04-09
3032.021084972,2020-04-10
1535.567899228693,2020-04-11
1899.7441808969943,2020-04-12
2512.2859905222413,2020-04-13
1715.4068929808918,2020-04-14
1644.4414448709483,2020-04-15
3414.9990568826065,2020-04-16
1751.602593799027,2020-04-17
1183.0499432176368,2020-04-18
1112.8009250651214,2020-04-19
1975.8384310718084,2020-04-20
1260.2259168605958,2020-04-21
1488.932736935082,2020-04-22
1979.977029615323,2020-04-23
1006.011384254862,2020-04-24
801.1051064383595,2020-04-25
887.6444199222143,2020-04-26
1605.1783718598556,2020-04-27
936.1304833038956,2020-04-28
2380.892610984739,2020-04-29
3389.0971873597537,2020-04-30
2088.736014784469,2020-05-01
485.996987909426,2020-05-02
2489.0690014857755,2020-05-03
2634.610778373514,2020-05-04
688.5497185887659,2020-05-05
1919.0475775273053,2020-05-06
2371.582676357913,2020-05-07
1560.7391528522578,2020-05-08
1942.6349800791445,2020-05-09
4586.344509266454,2020-05-10
2318.9939243565154,2020-05-11
943.7967500306388,2020-05-12
1268.1237819902078,2020-05-13
1103.3654654966392,2020-05-14
1047.9066784140182,2020-05-15
492.02398538428366,2020-05-16
707.4140025575826,2020-05-17
678.725395886496,2020-05-18
576.0136880563387,2020-05-19
269.93627668351184,2020-05-20
1289.1146857609772,2020-05-21
136.52263667098035,2020-05-22
55.11188275212836,2020-05-23
577.6893589446192,2020-05-24
232.21716440338287,2020-05-25
476.7712113158434,2020-05-26
426.7312269593263,2020-05-27
827.299740320852,2020-05-28
1031.3106919426202,2020-05-29
1236.6287155569896,2020-05-30
576.5180774913107,2020-05-31
242.8342729602881,2020-06-01
1250.4102470600671,2020-06-02
57.12225569536601,2020-06-03
850.3889950810072,2020-06-04
760.6479499086419,2020-06-05
701.0220191786441,2020-06-06
549.7523746233495,2020-06-07
41.74856659484004,2020-06-08
439.0935864751408,2020-06-09
893.5334807834838,2020-06-10
969.300251751215,2020-06-11
617.5637821448969,2020-06-12
270.9328878308657,2020-06-13
701.342066193012,2020-06-14
1319.8787012107553,2020-06-15
1022.5376828847856,2020-06-16
662.3591531428586,2020-06-17
794.1184754119062,2020-06-18
1111.7401094443874,2020-06-19
1400.188878732784,2020-06-20
958.7049950586826,2020-06-21
672.6451315292194,2020-06-22
562.6254682181473,2020-06-23
1532.074086939924,2020-06-24
728.4983059919336,2020-06-25
1322.4756656751354,2020-06-26
307.33316238597024,2020-06-27
219.07523417605407,2020-06-28
115.0886385589518,2020-06-29
124.9749023991867,2020-06-30
286.9711683984101,2020-07-01
513.9293444343483,2020-07-02
1210.576601853764,2020-07-03
660.0868149703487,2020-07-04
439.3843206520504,2020-07-05
663.0576803657057,2020-07-06
252.6769850109744,2020-07-07
210.9730842984636,2020-07-08
341.41554586135385,2020-07-09
398.5947617199639,2020-07-10
303.932602326246,2020-07-11
277.76240203240314,2020-07-12
369.75070901721153,2020-07-13
282.32946700684306,2020-07-14
270.28588185747384,2020-07-15
492.8847458128624,2020-07-16
341.9631242628464,2020-07-17
722.3678225405122,2020-07-18
1614.6661664408243,2020-07-19
1190.192720938096,2020-07-20
931.1401469682944,2020-07-21
472.0288032428282,2020-07-22
981.8449600004128,2020-07-23
1048.3754883294964,2020-07-24
1248.190100414243,2020-07-25
505.27434094631263,2020-07-26
600.9830013766302,2020-07-27
615.5467890731975,2020-07-28
635.7467554438985,2020-07-29
808.8701448563269,2020-07-30
847.8123714258536,2020-07-31
1899.6560318999868,2020-08-01
1565.219338827044,2020-08-02
1315.4293790699578,2020-08-03
392.0021513506688,2020-08-04
477.271607800652,2020-08-05
316.0537231741184,2020-08-06
181.43078294564663,2020-08-07
361.0514929864751,2020-08-08
182.59009658782853,2020-08-09
480.0594406381529,2020-08-10
284.29892469748546,2020-08-11
456.3202358116468,2020-08-12
492.63207081620527,2020-08-13
685.4224937150937,2020-08-14
701.207747818631,2020-08-15
531.570772932869,2020-08-16
576.8465633735475,2020-08-17
610.2785187796378,2020-08-18
1147.4806614926897,2020-08-19
972.6257744875302,2020-08-20
1338.6886762757888,2020-08-21
1137.6813037081554,2020-08-22
843.9682979084025,2020-08-23
1556.4937555526371,2020-08-24
1033.3711002892924,2020-08-25
