,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
359,2020-11-06,7786.0,2189.0,78729.0,150517.0,548.0,42311.0,121399.0,85.0,8278.0,204599.0,182871.0,166004.0,145946.0,33042.0,436.0,72820.0,1691.0,112090.0,6399.0,56.0,33414.0,439.0,73226.0,1707.0,9.0,112636.0,6450.0,56.0,1614335578.0,626713482.779331,1.026653641972,643426962.4032879,626722524.6160741,18150091.132430043,18333126.470067766,0.922093271272,3.5734981278149998,2.0850761078317053,6.467035797791673e-05,1.010084540970193,,0.028216415276523483,1.00980824988592,6.47044754360349e-05,0.00242161787990764,0.85289179892441,1.00980824988592,0.0016692407,620456464.1464254,607846018.3907994,451350044.5143489,620456464.1464254,620456464.1464254,554742904.346539,620456464.1464254,620456464.1464254,620456464.1464254,473282831.51988477,592966940.8323503,620456464.1464254,97.4024278433,617779918.7289479,636886783.1338537,637002520.0431145,587376252.7016536,635973498.1797454,636994395.4494301,506083779.9998217,629858800.0804979,637003074.857121,637002997.502756,637002148.9796069,636986708.3847698,636837769.0507774,635197898.470938,578477788.5836583,613749736.9881499,628342408.1276139,482238296.2720081,636987252.2360035,636841813.2560488,635234924.6028445,578776851.6163867,613908870.0119225,350023524.1344116,628393213.9257315,482238296.2720081,515095156.4425884,633410360.5693865,616795754.7360172,637003078.75742,12988.0,0.150324074074,16912.0,178257566.10847142,180055211.83713913,16351.053292288902,16515.946159120787,500.0,505.04227048509654,119.925220451139,0.0043716342782461936,0.0008108599787629852
360,2020-11-07,7248.0,2235.0,78700.0,150820.0,556.0,42098.0,121370.0,91.0,8250.0,205279.0,183466.0,166566.0,146446.0,33096.0,455.0,72971.0,1723.0,112442.0,6502.0,64.0,33470.0,459.0,73369.0,1745.0,9.0,112983.0,6555.0,64.0,1614335578.0,640111580.1392251,1.028766623419,658569623.8353655,640154539.2739928,52896877.701579675,53423123.62031759,0.9221568303859999,3.332130292701,2.129627301515991,6.793517553827202e-05,1.0099485251607243,,-0.03408756822063787,1.01008454097019,6.46703579779167e-05,0.00221292415467961,0.850631182619317,1.01008454097019,0.001664053116,633806143.7708983,621172446.8227277,461753684.26390845,633806143.7708983,633806143.7708983,565248170.943748,633806143.7708983,633806143.7708983,633806143.7708983,484724629.0768029,606296870.2093881,633806143.7708983,97.1972524957,632647455.0479816,651964115.942218,652081791.8612592,601322207.7906634,651031740.9020612,652073372.4218445,518785510.16918254,644881769.9179692,652082362.0944107,652082284.6288877,652081433.2041328,652065924.7420943,651916189.0189505,650272966.8187673,593168574.342792,628463541.131705,643450711.2677218,496768379.32562196,652066463.6538281,651920153.8299254,650310195.4455566,593567633.752808,628682507.0395833,342003589.95369446,643503498.9639568,496768379.32562196,524325306.92784125,648489738.2072065,631365127.9041184,652082366.0102475,12781.0,0.147928240741,16543.0,195695338.63624692,197642218.63650614,18639.799128928895,18825.237639553892,508.4292679842367,513.4873893492266,117.624853612162,0.004344558909780439,0.0008061340489712301
361,2020-11-08,6345.0,2222.0,78757.0,151153.0,561.0,42133.0,121618.0,89.0,8261.0,205782.0,183867.0,166930.0,146751.0,33127.0,459.0,72995.0,1724.0,112617.0,6491.0,62.0,33486.0,462.0,73385.0,1743.0,9.0,113132.0,6543.0,62.0,1614335578.0,636448112.5433164,1.031000825258,656374279.2275876,636637976.5636444,20491132.384660833,20681459.875497907,0.9224990999789999,6.40030613949,2.146202473940201,6.511537029671044e-05,1.009288285647871,,-0.21952658852665244,1.0099485251607199,6.7935175538272e-05,0.00231230084391657,0.8468155774921701,1.0099485251607199,0.0016665689739999998,630591003.1788136,617955235.8371142,436919542.83005506,630591003.1788136,630591003.1788136,561215939.6620067,630591003.1788136,630591003.1788136,630591003.1788136,483785158.79242486,603015158.8635595,630591003.1788136,96.9642066554,630955920.4600854,650215256.7624426,650333218.7001901,599932338.903857,649284180.374872,650324793.0170664,515395335.4645612,643126177.9978455,650333789.2586915,650333711.6314464,650332858.1056631,650317293.8469375,650167097.611414,648525003.055963,591683534.1976097,626887738.3438911,641676790.5151231,493159521.41647756,650317807.0064473,650170983.4730445,648560750.0228965,591982597.2303375,627076916.421936,347735943.9406035,641728595.3960232,493159521.41647756,522048188.4870252,646746367.4036433,629804605.4427203,650333793.1899753,10725.0,0.124131944444,13599.0,101609794.753004,102553575.55129151,10645.49160128194,10744.369968136662,276.4966140083949,279.0647935399741,118.163720984533,0.0043390399955040414,0.0007805728485707639
362,2020-11-09,7058.0,2280.0,79299.0,152038.0,578.0,42638.0,122732.0,93.0,8421.0,206516.0,184506.0,167507.0,147265.0,33165.0,456.0,73195.0,1732.0,113006.0,6472.0,63.0,33492.0,459.0,73553.0,1747.0,9.0,113475.0,6525.0,63.0,1614335578.0,610586688.883472,1.030706043642,629732320.3565989,610971793.7923144,131440840.77952747,132518161.49052258,0.920005405635,1.8796261986449998,2.0603509035231804,6.580992740565331e-05,1.0081962402599218,,-0.2455579088146989,1.00928828564787,6.51153702967104e-05,0.0022163857655431198,0.846255727415343,1.00928828564787,0.0016990667170000001,605622858.4288881,592752800.6531461,415930033.8774397,605622858.4288881,605622858.4288881,535559191.6522984,605622858.4288881,605622858.4288881,605622858.4288881,459399482.97957504,578006708.1277264,605622858.4288881,96.9597190974,605605523.9504393,624495823.1143063,624612290.1873586,574647192.3777144,623586395.6708761,624604249.379607,490046979.4323987,617491637.667632,624612839.4704971,624612761.5950459,624611905.7648941,624596280.2389426,624445477.0977522,622796773.5688171,565012456.0791411,601197387.5451905,615922390.9202647,465445200.05240387,624596747.8060702,624449045.5037028,622829349.0646057,565311519.1118691,601346781.3385324,314334280.78786737,615975207.9408813,465445200.05240387,494295221.48486215,621025922.3026838,604124453.2992847,624612843.4224751,13648.0,0.157962962963,17238.0,332306946.9199284,335030614.4969253,27630.466860267978,27856.932805148535,458.35106621059424,462.1078216726475,123.792130897237,0.0043332981108882606,0.0007905886695010807
363,2020-11-10,6445.0,2309.0,79803.0,152811.0,573.0,43012.0,123527.0,92.0,8538.0,207358.0,185232.0,168209.0,147897.0,33353.0,458.0,73562.0,1740.0,113510.0,6508.0,61.0,33667.0,461.0,73919.0,1755.0,7.0,113959.0,6559.0,61.0,1614335578.0,600959895.7397728,1.031912039599,620595077.1543816,601403078.3045956,49532857.802374706,49915234.007967755,0.918255915503,3.331692302583,2.0380298827263013,6.578115498889227e-05,1.0077196475745178,,-0.20439490241028035,1.00819624025992,6.58099274056533e-05,0.00226791311831943,0.852075747922136,1.00819624025992,0.0017162788020000002,596356235.7707566,583483032.152829,432942678.0547821,596356235.7707566,596356235.7707566,524885166.0078542,596356235.7707566,596356235.7707566,596356235.7707566,459481569.126486,568596860.8220696,596356235.7707566,96.8360719997,596847367.0846839,615724251.1447731,615840454.117143,565499642.7829739,614819427.0127317,615832533.1988264,479389214.25312763,608714268.4639407,615840997.6876353,615840919.7270179,615840060.6102444,615824376.8510118,615672963.9017113,614017641.4869275,556486010.2274648,592305364.8553927,607089686.5423912,454005422.36844724,615824824.5765886,615676522.7105309,614048927.0799297,556785073.2601928,592454881.4772319,298697707.9525989,607140521.6631267,454005422.36844724,484247698.4523249,612230568.511664,595226513.1107634,615841001.6596311,11047.0,0.127858796296,13596.0,184843300.55996436,186270225.696798,17716.452829497008,17853.217601611283,356.7303808905932,359.4842137101921,125.94651469566901,0.0043231185073606395,0.0007796437375656061
364,2020-11-11,6204.0,2289.0,80229.0,153452.0,569.0,43154.0,123993.0,91.0,8556.0,208221.0,186009.0,168944.0,148569.0,33555.0,450.0,73956.0,1739.0,114095.0,6542.0,58.0,33900.0,455.0,74338.0,1753.0,7.0,114585.0,6598.0,58.0,1614335578.0,606700499.3722024,1.030660416629,625550453.1913409,606941377.682377,114434845.07589677,115419582.83449169,0.918649447439,2.220532085461,2.051273576495114,6.411479041566347e-05,1.0086052264757452,,-0.09174232058219303,1.00771964757452,6.57811549888923e-05,0.0022319290937499,0.8532801058521691,1.00771964757452,0.001722974191,601524246.9961483,588635138.2097011,438050682.982005,601524246.9961483,601524246.9961483,530452664.45464176,601524246.9961483,601524246.9961483,601524246.9961483,468154148.89301735,573641527.328224,601524246.9961483,96.98666131200001,600981752.5950989,620095971.5922617,620212824.4139808,569758675.7279835,619180338.2146511,620204794.4940662,485003281.1195236,613017187.3014867,620213372.6284513,620213294.4813243,620212432.3336307,620196706.9980187,620044390.9230461,618381501.0507203,560437722.6980828,596584027.7164347,611400989.7705989,457459209.4386297,620197195.3941686,620048197.8581222,618415861.3973681,560935115.8733895,596723545.0529629,313095702.1483838,611456792.4289922,457459209.4386297,490438278.8338979,616575084.6399543,599566965.5572585,620213376.6222197,9901.0,0.11459490740700001,12486.0,279308450.74608433,281711963.2213439,27429.557538806555,27665.595093557462,394.83468620300795,398.2323280982646,125.61082388360501,0.0043204220586671,0.0007975859365260394
365,2020-11-12,6206.0,2296.0,80765.0,154204.0,582.0,43573.0,124645.0,89.0,8702.0,209141.0,186836.0,169750.0,149339.0,33985.0,461.0,74497.0,1751.0,114755.0,6632.0,58.0,34288.0,465.0,74852.0,1762.0,7.0,115200.0,6686.0,58.0,1614335579.0,607474234.6472856,1.030013307683,626167360.053759,607921621.3838615,42986444.15177396,43313729.1036569,0.918569835016,3.4228050595459996,2.12587543158752,6.185544062389533e-05,1.0076136781802043,,-0.3031131493265877,1.0086052264757501,6.41147904156635e-05,0.00217270699723538,0.8559540058578521,1.0086052264757501,0.0017288397419999999,602884069.3631824,589986800.270263,404955683.44936144,602884069.3631824,602884069.3631824,531232648.3697611,602884069.3631824,602884069.3631824,602884069.3631824,468500507.2742476,574827519.2871927,602884069.3631824,97.01467585200001,601881467.9126029,621318018.0738959,621435392.013436,570832315.0750654,620397815.3349862,621427313.4719661,481810189.87615037,614140484.4980845,621435942.7361281,621435864.537288,621435000.9376705,621419226.413188,621266417.4071733,619599602.2746676,561357746.4086523,597523847.6655755,612476630.7936637,456051743.89836216,621419670.1792359,621269956.5128943,619629795.8273255,561756212.5241785,597633549.1325275,318358624.216822,612530456.2417277,456051743.89836216,488440546.1787333,617733643.4985842,600478682.5174745,621435946.745627,10510.0,0.121643518519,13517.0,181557505.00966147,182939825.42400584,18982.434306519524,19126.960452406234,405.99969049691083,409.09084148161685,125.776597242234,0.004320801055280604,0.0007845443335974442
366,2020-11-13,7419.0,2294.0,81554.0,155248.0,582.0,44149.0,125497.0,88.0,8905.0,210408.0,187999.0,170906.0,150429.0,34590.0,462.0,75304.0,1758.0,115696.0,6755.0,57.0,34900.0,467.0,75661.0,1770.0,7.0,116148.0,6812.0,57.0,1614335579.0,612498676.4676734,1.029191919472,630811828.5713102,612919530.9801598,42524037.173922926,42852120.33424732,0.918202223592,4.575090727447,2.144618578319278,6.170920801106039e-05,1.0077152401824536,,-0.16365956360449835,1.0076136781802,6.18554406238953e-05,0.00217689912439525,0.85380202612037,1.0076136781802,0.001733069618,607809281.8728994,594911515.0501254,411075718.8782393,607809281.8728994,607809281.8728994,533978344.8415766,607809281.8728994,607809281.8728994,607809281.8728994,469687147.36878806,579462549.4078275,607809281.8728994,97.0968914541,605979332.0137656,625863671.3692015,625981665.3499186,574778271.2480624,624934269.4229299,625973474.0597963,485606434.8543322,618553193.5848749,625982221.3235742,625982143.1582967,625981276.8339671,625965435.7456087,625812120.787927,624136816.0515563,565288049.4727819,601673692.3682563,616823219.7220086,459853297.7472216,625965886.4659615,625815679.5864242,624167704.8604589,565785642.2651135,601793283.85145,324272788.48175263,616880039.6242422,459853297.7472216,492806236.16091514,622186190.5069357,604681958.0667833,625982225.3527669,12265.0,0.141956018519,15123.0,136824002.5487099,137879632.5910979,16357.984813002853,16484.1905947361,332.5479088414258,335.11359583031003,125.258317911201,0.004315802641212746,0.0007519050002530982
367,2020-11-14,6036.0,2297.0,81683.0,155599.0,579.0,44190.0,125655.0,91.0,8929.0,210994.0,188491.0,171387.0,150860.0,34731.0,467.0,75476.0,1760.0,116001.0,6794.0,57.0,35032.0,470.0,75831.0,1772.0,8.0,116442.0,6855.0,57.0,1614335579.0,618411120.0363282,1.02810572317,636270292.0255915,618876325.3490005,33197400.998951323,33446665.3490751,0.9179475239560001,1.665239612341,2.1420017683974795,6.257035917166084e-05,1.0075085501461891,,-0.16757139443256328,1.00771524018245,6.17092080110604e-05,0.00211451078474625,0.851039657505223,1.00771524018245,0.0017308366450000002,613802354.2793722,600890856.6557424,409402760.20775265,613802354.2793722,613802354.2793722,539948882.3410052,613802354.2793722,613802354.2793722,613802354.2793722,471695019.2466789,585388909.2576412,613802354.2793722,97.19314696709999,611334390.6976854,631409179.890959,631527862.3661444,579709957.8429763,630472543.5382098,631519536.3554213,491385175.9448037,624060241.6454132,631528425.0991569,631528346.8979108,631527478.8827817,631511586.0770166,631357859.0511376,629681154.5263195,570890993.0180705,607004777.454052,622338961.6868856,463470351.355269,631512025.8839978,631361398.0934312,629711149.9348181,571190056.0507984,607124404.3409497,333454294.8372681,622399767.4238466,463470351.355269,496884600.8266479,627715876.5166357,610043478.9974991,631528429.1466002,10646.0,0.123217592593,13566.0,379241776.65877247,382089332.55634487,53238.72229409114,53638.46791015535,322.8333692243562,325.2573797660407,125.301907949849,0.0042943138990390725,0.0007521390829949775
368,2020-11-15,6202.0,2345.0,81903.0,156048.0,580.0,44310.0,125912.0,94.0,9033.0,211711.0,189198.0,172043.0,151454.0,35027.0,472.0,75864.0,1812.0,116506.0,6928.0,61.0,35324.0,475.0,76211.0,1824.0,8.0,116934.0,6985.0,61.0,1614335579.0,629352244.6587604,1.02745221446,647195241.0951344,629903008.6136731,64658849.01951583,65119653.68474632,0.916625100421,3.1609323408490004,2.1785263411002846,6.29975693934973e-05,1.0071267068965517,,-0.21878714477161734,1.00750855014619,6.257035917166079e-05,0.00217815451878291,0.8517200836051559,1.00750855014619,0.0017262674419999998,624898774.2546332,611942032.9421353,408141136.92867726,624898774.2546332,624898774.2546332,549758880.2369319,624898774.2546332,624898774.2546332,624898774.2546332,475774228.7122003,596354265.1441852,624898774.2546332,97.24302725,622101120.5738144,642494759.1047921,642614930.1410517,589037505.2099383,641544373.0156237,642606424.3989587,501395515.948567,635063381.0261548,642615504.6467589,642615426.1807833,642614555.7281096,642598627.987337,642444494.0557696,640763657.7867416,580376419.168464,617781301.689416,633356159.3941977,474022606.8376533,642599054.9021671,642447953.7745384,640793259.7556111,580675482.2011919,617900928.5763139,334938964.951274,633412989.9149189,474022606.8376533,505111755.3269029,638758045.7870815,620492326.5847756,642615508.7173276,11575.0,0.13396990740700002,14857.0,203299355.83015603,204748210.75141522,24510.77420012221,24685.45530365404,391.1360344451725,393.92354631934285,123.70674624334299,0.004294059267230653,0.0007535032566253957
369,2020-11-16,7066.0,2318.0,81735.0,156101.0,578.0,43953.0,125720.0,92.0,8838.0,212128.0,189506.0,172333.0,151699.0,34939.0,474.0,75892.0,1824.0,116644.0,6897.0,58.0,35183.0,477.0,76184.0,1834.0,10.0,117001.0,6939.0,58.0,1614335579.0,641812956.8351879,1.027127930174,660202075.439202,642765186.3456074,88423877.42005473,88887613.99040096,0.9174236834810001,2.918884097328,2.2130853318410626,6.0039493144605344e-05,1.0052444722384573,,-0.3542927752246107,1.0071267068965502,6.29975693934973e-05,0.00224131850667847,0.851110758716579,1.0071267068965502,0.001721850044,638464547.2419384,625454802.2319893,434501473.5174717,638464547.2419384,638464547.2419384,560957930.1702737,638464547.2419384,638464547.2419384,638464547.2419384,493990839.31555456,605293665.0268984,638464547.2419384,97.2146227211,636194186.0514088,656635205.018019,656757134.9921554,602525093.7643268,655664704.9062054,656748379.9425657,513065109.96936315,649132880.1572491,656757723.6806501,656757645.1426932,656756772.9619035,656740791.1858397,656586197.0871367,654900944.0592355,594057124.6955166,632161583.1027251,647534042.8351142,484896816.27493787,656741147.5649128,656589110.1038693,654925279.8858346,594356513.6953897,632261310.0665059,362363187.43221813,647575945.6972075,484896816.27493787,518015065.8960189,652921889.0796747,634795617.7163945,656757727.7685273,12456.0,0.144166666667,15996.0,225003016.861768,226183038.93726867,20226.93286562713,20333.012453510044,500.0,502.6222361192287,121.53556831109199,0.004296035804540997,0.0008188046682649704
370,2020-11-17,8293.0,2470.0,82496.0,156972.0,624.0,44592.0,126644.0,100.0,9187.0,212998.0,190305.0,173097.0,152415.0,35313.0,501.0,76468.0,1948.0,117292.0,7122.0,64.0,35524.0,503.0,76747.0,1957.0,10.0,117626.0,7158.0,64.0,1614335579.0,630763606.5924513,1.028939567909,650049819.7273784,631766762.5983189,63307189.42186143,63612469.99819346,0.9127289403990001,1.5520494736019999,2.161342394279992,5.6826863242845676e-05,1.004822210227937,,-0.4428652116833471,1.0052444722384601,6.00394931446054e-05,0.00217465480281366,0.8476359791606399,1.0052444722384601,0.0017405404130000001,627736529.0814648,614624916.628316,422013152.49049854,627736529.0814648,627736529.0814648,549522872.46558,627736529.0814648,627736529.0814648,627736529.0814648,477424268.54894435,594507082.6337556,627736529.0814648,97.0331176858,626167423.2871733,646808482.8640437,646929601.3343542,590471903.5140373,645844752.4835553,646920989.4129848,494197843.7717448,639334396.331992,646930182.2553416,646930103.5690281,646929229.0561492,646913217.618199,646758222.2654167,645062405.522611,580531348.179667,621930379.570782,637650063.7212381,464558192.35173076,646913551.1056377,646761005.8694388,645083457.21544,580731092.0653077,622020214.8436484,315477246.34694564,637686005.0582783,464558192.35173076,494197843.7717448,643032185.0992087,623618891.2717528,646930186.3659235,18741.0,0.216909722222,23083.0,416823173.08136487,418833182.0498391,32619.930748667408,32777.23091235822,927.0126059014335,931.482855571038,124.541477563724,0.004294922099396346,0.0008128804927485365
371,2020-11-18,8793.0,2506.0,82079.0,156798.0,624.0,45258.0,126459.0,106.0,9396.0,212881.0,190114.0,172885.0,152118.0,35785.0,502.0,75920.0,1961.0,116862.0,7225.0,66.0,35975.0,504.0,76183.0,1971.0,10.0,117166.0,7259.0,66.0,1614335579.0,623869057.3724438,1.027566039234,642231253.9427159,625002412.906979,271482998.81814396,272628281.85223585,0.910643350504,1.266308656758,2.113020145771492,5.6401915255628845e-05,1.0042186178842785,,-0.4214153729762372,1.0048222102279398,5.68268632428457e-05,0.0020816917510327,0.8459547744717391,1.0048222102279398,0.001688701716,621317030.9930137,608213502.4272488,424152870.7688547,621248248.4011623,621317030.9930137,548332018.5490961,621317030.9930137,621317030.9930137,621317030.9930137,455573641.29165155,587933628.1803552,621317030.9930137,97.1408746526,618439641.422887,639411936.2822154,639532726.2774787,582386753.7141242,638493758.4822081,639524210.1303754,489065153.7113324,631913519.9353727,639533303.1695662,639533224.386205,639532345.4065368,639516276.6387807,639360791.6077843,637698015.8129938,572581508.1185962,614016346.0148717,630155411.7624887,456525856.94587195,639516580.2443588,639363415.9203566,637716977.0989997,572781252.0042368,614116206.2248774,302868948.6431113,630189356.1101758,456525856.94587195,485084192.01795983,635584212.2096655,615590546.6605183,639533307.2949696,16340.0,0.18912037037,19884.0,505037459.77079415,507168019.83081394,34313.23796347328,34457.992402813485,623.0524296409643,625.6808497634909,126.922772020992,0.004295159607671459,0.0008077077404813643
372,2020-11-19,7750.0,2536.0,82608.0,157599.0,627.0,45653.0,127099.0,104.0,9498.0,213910.0,191007.0,173752.0,152940.0,36160.0,500.0,76460.0,1984.0,117562.0,7329.0,67.0,36302.0,502.0,76705.0,1995.0,9.0,117840.0,7362.0,67.0,1614335579.0,626292645.7506014,1.027197537238,644593921.7904475,627526739.9135584,48749840.084956795,48928213.82003372,0.910513024268,2.99052162629,2.1122603978717374,5.632625980325247e-05,1.0036589604143535,0.09373174059372948,-0.5277464711469865,1.00421861788428,5.64019152556288e-05,0.0020943394734387,0.846790020034221,1.00421861788428,0.001694889751,624080098.2832235,611281988.0099578,419335503.73738235,624009419.9846938,624080098.2832235,549989854.8629231,624080098.2832235,624080098.2832235,624080098.2832235,460255889.50970054,590803150.7005501,624080098.2832235,97.1608053658,620839237.2370964,642121861.6184783,642243391.8917476,584771505.3643161,641196804.3937768,642234781.1137019,489312728.6988185,634530356.066951,642243972.3676847,642243893.4796494,642243012.145154,642226879.2894025,642070643.7391471,640398132.7040129,574554534.5855763,616374131.8264351,632772636.353152,458498349.2021223,642227156.9923662,642073088.7004668,640412313.6566262,574754278.471217,616483987.4187618,289962931.2155746,632805584.6015005,458498349.2021223,486613190.23136675,638237818.3790588,617840841.7433423,642243976.5040624,14639.0,0.16943287037000002,18236.0,214759850.20738,215545647.99788132,19667.00104691481,19738.961825214526,500.0,501.8294802071768,126.875868670576,0.004293343530773482,0.0008015125711347645
373,2020-11-20,7981.0,2557.0,83015.0,158165.0,631.0,45898.0,127499.0,102.0,9545.0,214762.0,191750.0,174461.0,153576.0,36467.0,505.0,76924.0,1986.0,118066.0,7414.0,68.0,36716.0,509.0,77215.0,1997.0,8.0,118427.0,7459.0,68.0,1614335579.0,633966402.169529,1.026548106306,651669752.5733219,634816574.6644344,63433125.768700935,63766509.85323374,0.910454043019,2.864479899123,2.13172102257059,5.386130667010037e-05,1.0052556780151185,0.28698345818051363,-0.35506511887852416,1.00365896041435,5.63262598032525e-05,0.00213023222034062,0.846545327930817,1.00365896041435,0.0016961613269999998,630727440.6345667,617921082.4492815,413515042.26365435,630651898.849553,630727440.6345667,556071488.272343,630727440.6345667,630727440.6345667,630727440.6345667,463179856.9147085,596940881.0830622,630727440.6345667,97.28338620379999,626598679.2097751,648140031.0655253,648262100.3611336,590213389.4086479,647205132.1506299,648253368.607068,490957309.27994096,640469406.2021694,648262688.4380753,648262609.4667649,648261724.8114609,648245525.8726586,648089150.1943548,646409051.1199888,579991273.9695054,621984170.2775623,638732131.064102,462496522.3843796,648245886.2071944,648092053.1324017,646433884.8196843,580390860.3058215,622093919.5999213,290685215.2177305,638777026.4156877,462496522.3843796,489625903.52881455,644212646.1266179,623502272.1436692,648262692.5918456,14438.0,0.167106481481,18721.0,226310784.30336708,227500200.91701442,21117.288575025188,21228.27424432787,558.7089125577338,561.6453067063143,126.16201550945699,0.004294978390644856,0.0008639879410666124
374,2020-11-21,7706.0,2560.0,83046.0,158537.0,637.0,45754.0,127473.0,105.0,9456.0,215600.0,192457.0,175129.0,154192.0,36655.0,510.0,77247.0,2016.0,118552.0,7530.0,68.0,36864.0,512.0,77517.0,2024.0,10.0,118874.0,7561.0,69.0,1614335579.0,652598383.2134414,1.025392291975,670270093.6482842,653671866.7521292,197663407.3219102,198542954.09021822,0.9112484003550001,1.3825168701700001,2.169426853061196,5.3694968213835086e-05,1.0044497197545297,0.11958863927008725,-0.3745030791804416,1.00525567801512,5.38613066701004e-05,0.00197278005463908,0.847051114164005,1.00525567801512,0.0016881349410000001,649798142.8943902,637004208.4888083,422624091.85356474,649707367.505588,649798142.8943902,573544401.0371779,649798142.8943902,649798142.8943902,649798142.8943902,481650929.7707194,615549143.5158848,649798142.8943902,97.3634941194,645255632.5763273,667175647.2178738,667300181.6951942,608076779.3854951,666216798.5473411,667291079.2103412,507949674.1380555,659376371.7895185,667300787.94926,667300708.8962754,667299822.1023312,667283568.0169386,667126677.6517314,665441994.0253358,597611602.4505334,640793486.8176152,657782715.8068299,476527605.95601976,667283889.5431482,667129371.6355358,665462848.467952,597811346.3361744,640873387.011432,310482534.6696583,657813667.8124645,477524065.52767754,504459912.5861072,663229394.7577609,642124961.3564596,667300792.1313239,16269.0,0.188298611111,20339.0,482670994.13357097,484818744.7911055,35232.92395736221,35389.700595105125,661.1553665578326,664.0973226532186,123.40413837373501,0.004294520857060392,0.0008685132035673419
375,2020-11-22,7804.0,2526.0,83136.0,158909.0,636.0,45663.0,127598.0,106.0,9372.0,216170.0,192966.0,175621.0,154640.0,36658.0,504.0,77430.0,2026.0,118868.0,7473.0,68.0,36788.0,506.0,77574.0,2034.0,11.0,119115.0,7499.0,68.0,1614335579.0,659743112.1203488,1.023589768535,676858820.7973411,661259853.9021783,39602226.70722549,39721302.42788652,0.911616157816,3.226748377508,2.2009964583857555,5.426735235799963e-05,1.0030067935710114,-0.04580622189244702,-0.5069241593243407,1.0044497197545301,5.36949682138351e-05,0.0018351024624568102,0.845318836681605,1.0044497197545301,0.001689327785,657901419.8130631,645008320.8247398,409329527.3124084,657765347.5022447,657901419.8130631,577769132.0112611,657901419.8130631,657901419.8130631,657901419.8130631,485540201.5156125,622087004.2528975,657901419.8130631,97.47130300280001,652671011.1758754,674703451.2950282,674829129.3907893,615185701.1875399,673731966.7579768,674819849.0122625,515842515.71459687,666872136.8176341,674829742.8592236,674829663.7509625,674828774.659748,674812460.0183654,674655074.2801014,672963180.7269928,604270840.14089,648548546.1150941,665293567.2334625,483715670.9310872,674812706.8247076,674656512.481691,672976166.1469285,604470584.0265304,648628400.1228858,322417539.8866053,665319540.5262187,483715670.9310872,511625043.34267676,670764715.5423228,649832616.4929708,674829747.052377,16517.0,0.191168981481,21378.0,209136154.4508305,209764983.69549924,15010.436731791235,15055.570016454461,817.1802138898038,819.637306103285,122.34296224576,0.00429587013413345,0.0009009288884719148
