,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
10,2017-12-28,56,122,212,420,83,204,412,55,174,547,416,410,212,115,10,165,50,200,78,1,116.0,11.0,166.0,50.0,0.0,200.0,78.0,1.0,1614335579,5781633.225895336,1.37199715,6373624.6348894,4645508.667661216,36732.223,40405.4453,0.998487713846,1.3994341000000001,,7.697985786093632e-05,1.1,,,1.184325e-06,5256030.2053593965,5256030.2053593965,3365548.8114821007,5256030.2053593965,5256030.2053593965,5256030.2053593965,5256030.2053593965,5256030.2053593965,5256030.2053593965,4517063.268665108,5256030.2053593965,5256030.2053593965,90.71185600000001,5792902.373065149,5794202.107812044,5794204.212444748,5785441.718732117,5794199.908636471,5794204.2043534,5719113.025033576,5794134.105432022,5794204.209189652,5794204.187812043,5794202.107812044,5794197.397489624,5794063.076932036,5792386.121186603,4328414.878109363,5681587.33121227,5781444.373812118,2257845.4845115985,5794197.397489624,5794072.205104544,5792484.121186603,4423414.878109363,5681587.33121227,0.0,5781444.373812118,2257845.4845115985,5790629.076857503,5712462.69057827,3634896.0635345886,5794204.213535817,592,0.00685185,602,4140390.9022720167,4554429.992499217,8411.12094355,9252.233037905,4000.0,4400.0,11.40355874006635,,
11,2017-12-29,48,121,215,423,80,207,415,57,176,552,419,413,215,114,11,168,51,203,75,1,115.0,11.0,169.0,51.0,0.0,203.0,75.0,1.0,1614335579,5675204.930845337,1.38124004,6271235.5343394,4540293.74815056,6981.0,7679.1,0.998359369092,5.75186436,,7.548855118674213e-05,1.1,,,1.229598e-06,5159277.209859395,5159277.209859395,3228863.429863009,5159277.209859395,5159277.209859395,5159277.209859395,5159277.209859395,5159277.209859395,5159277.209859395,4329022.94740913,5159277.209859395,5159277.209859395,90.49580300000001,5699757.462610485,5701121.107311943,5701123.211944648,5691769.774081451,5701118.908136371,5701123.203853299,5641757.544618616,5701047.984931923,5701123.208689552,5701123.187311942,5701121.107311943,5701116.396989524,5700985.622431938,5699241.2107319385,4307747.343499913,5599497.359516169,5687780.975161452,2256170.6595115988,5701116.396989524,5700994.750604443,5699339.210731939,4307747.343499913,5599497.359516169,0.0,5687780.975161452,2256170.6595115988,5697692.010731938,5630038.008337476,3501062.6821634197,5701123.213035816,274,0.0031713,293,991178.3129981194,1090296.1442979313,5505.21949829,6055.741448119,3044.8691,3349.35601,11.87267401259172,,
12,2017-12-30,50,125,224,432,85,216,425,59,181,557,428,422,223,117,11,172,53,210,81,1,118.0,11.0,173.0,53.0,0.0,211.0,81.0,1.0,1614335580,5719809.563731397,1.37823459,6301199.133994398,4571935.126049213,28229.63605,31052.599655,0.998339440022,3.69289337,,8.495050860291841e-05,1.1,,,1.176983e-06,5199826.876119452,5199826.876119452,3095324.37720295,5199826.876119452,5199826.876119452,5199826.876119452,5199826.876119452,5199826.876119452,5199826.876119452,4238522.743096266,5199826.876119452,5199826.876119452,90.77335,5727015.287536128,5728360.738954296,5728362.848329748,5718850.55899884,5728358.769778723,5728362.841430654,5661561.3173527485,5728279.620567623,5728362.845074654,5728362.818954298,5728360.660506795,5728354.500815172,5728210.2580676405,5726421.995649325,4272586.375349914,5614492.590250204,5715701.760078838,2258916.6751615983,5728355.50081513,5728219.386240146,5726519.995649326,4272586.375349914,5614492.590250204,0.0,5715701.760078838,2258916.6751615983,5724308.8893202245,5631720.478531344,3465901.714013419,5728362.849085817,385,0.00445602,399,1551185.5523243845,1706304.1075568227,6531.80893766,7184.989831426,4000.0,4400.0,12.271179572944868,,
13,2017-12-31,60,133,231,437,90,224,430,63,191,569,433,428,231,127,12,180,57,219,85,1,128.0,12.0,181.0,57.0,0.0,220.0,85.0,1.0,1614335580,5894313.255659897,1.33910147,6533487.233994399,4879008.331868715,361701.0,397871.1,0.998108791548,5.02177915,,7.901458388885803e-05,1.1,,,1.2700299999999999e-06,5358466.5960544525,5358466.5960544525,3464137.7316872044,5358466.5960544525,5358466.5960544525,5358466.5960544525,5358466.5960544525,5358466.5960544525,5358466.5960544525,4278412.001669891,5358466.5960544525,5358466.5960544525,90.216955,5938130.76165043,5939531.764888198,5939533.848328648,5928300.952470181,5939529.474005564,5939533.841429555,5870302.424883554,5939451.597138968,5939533.845073551,5939533.824888198,5939531.764888198,5939525.792342009,5939367.733938985,5937661.159120668,4287076.706298361,5824118.247781105,5924241.40293071,2257327.3255615984,5939526.79234197,5939376.862111489,5937759.159120668,4287076.706298361,5824118.247781105,0.0,5924241.40293071,2257327.3255615984,5933254.418666179,5814023.659484869,3444863.7144134194,5939533.849085817,208,0.00240741,209,1182754.8897165002,1301030.37868815,9040.63573836,9944.699312196,4000.0,4400.0,12.153018045438824,,
14,2018-01-01,48,138,238,449,93,231,438,63,198,584,444,436,238,132,12,187,57,226,88,1,133.0,12.0,188.0,58.0,0.0,227.0,88.0,1.0,1614335580,5918049.701271896,1.33733231,6562553.8047474,4907197.544230714,26446.5,29091.15,0.997976734734,6.32226277,,8.169538049236065e-05,1.1,,,1.289426e-06,5380045.182974452,5380045.182974452,3480944.8225289723,5380045.182974452,5380045.182974452,5380045.182974452,5380045.182974452,5380045.182974452,5380045.182974452,3910605.8406257536,5380045.182974452,5380045.182974452,90.179066,5964434.701685032,5965955.858732795,5965958.003502717,5953887.28870478,5965953.567850165,5965957.988284153,5884399.389234122,5965873.1909835655,5965957.999628153,5965957.971742795,5965955.858732795,5965949.88618661,5965789.332783583,5963950.65835527,4264414.80064893,5835726.32383544,5949905.367272281,2278793.237091598,5965950.88618657,5965798.460956091,5964048.65835527,4264414.80064893,5845065.212131676,0.0,5949905.367272281,2278793.237091598,5957622.38390078,5845065.212131676,3440650.8457434187,5965958.004315816,253,0.00292824,254,943642.84158557,1038007.1257441269,7185.54438498,7904.098823478001,4000.0,4400.0,12.405114194515285,,
15,2018-01-02,80,144,251,459,105,244,451,73,209,599,456,449,251,139,14,201,65,237,99,1,140.0,14.0,201.0,66.0,0.0,239.0,99.0,1.0,1614335580,6041557.271737336,1.34667428,6783993.339391586,5037590.354362952,206800.0947142857,227480.10418571427,0.9983075973759999,1.94213324,,7.455442444101814e-05,1.1,,,1.30359e-06,5492324.792488489,5492324.792488489,2723840.0590564427,5492324.792488489,5492324.792488489,5492324.792488489,5492324.792488489,5492324.792488489,5492324.792488489,4036421.22642007,5492324.792488489,5492324.792488489,89.056061,6165490.098226068,6167264.529881595,6167266.670719549,6156829.173875966,6167262.4531066315,6167266.6594329495,6086647.227824603,6167183.015578616,6167266.668076951,6167266.642891596,6167264.529881595,6167257.085781657,6167121.588621368,6165067.648126067,4390301.671079992,6024357.039827137,6152119.69367876,1811317.9828866862,6167259.085781618,6167121.588621368,6165165.648126068,4390301.671079992,6033851.039827138,0.0,6152119.69367876,1811317.9828866862,6153024.283678762,5956376.750461137,3236499.5065385085,6167266.672174169,583,0.00674769,600,3175511.6141511714,3493062.7755662883,7667.60625128,8434.366876408001,4000.0,4400.0,12.746157779857153,,
16,2018-01-03,51,152,259,467,107,249,459,74,217,609,464,457,259,146,15,208,71,246,101,1,141.0,14.0,199.0,71.0,0.0,237.0,100.0,1.0,1614335580,5649216.334238094,1.32376426,6582812.442416554,4972798.1257640375,523864.6659999999,516006.69601000013,0.99825191156,3.0637651000000004,,6.562166700419182e-05,0.985,,,1.9180959999999998e-06,5735245.009378774,5735245.009378774,2879360.9051256855,5735245.009378774,5735245.009378774,5735245.009378774,5735245.009378774,5735245.009378774,5735245.009378774,4027367.646834956,5735245.009378774,5735245.009378774,85.81767099999999,6681293.199631726,6683056.17443171,6683058.315269664,6671375.74018806,6683051.698762711,6683058.303983063,6588741.714882315,6682976.071444275,6683058.312627063,6683058.287441708,6683056.17443171,6683049.255284584,6682907.915427025,6680798.924531727,4775679.221524848,6563722.656601174,6666417.432155562,1828289.623342323,6683040.245284583,6682817.91542687,6680298.924531726,4675475.7460506335,6563722.656601174,0.0,6665417.432155563,1828289.623342323,6665417.432155563,6424962.874875801,3450510.2659238908,6683058.31717417,374,0.0043286999999999996,385,2181322.032807582,2148602.2023154683,7556.680604699999,7443.330395629499,4000.0,3940.0,12.197750227213776,,
17,2018-01-04,74,170,283,490,123,270,482,81,234,632,488,481,283,167,19,230,77,269,118,1,168.0,20.0,230.0,78.0,0.0,270.0,119.0,1.0,1614335580,7559595.145760743,1.32166949,8557585.542202713,6474830.217013021,1137000.0,1250700.0,0.998168215334,2.1848447,,7.299124381764928e-05,1.1,,,2.231947e-06,6872359.223418855,6872359.223418855,3720634.060973809,6872359.223418855,6872359.223418855,6872359.223418855,6872359.223418855,6872359.223418855,6872359.223418855,5143813.349812404,6872359.223418855,6872359.223418855,88.337944,7777569.01044919,7779621.077442026,7779623.217591772,7765372.625664142,7779614.878986606,7779623.199993379,7644289.362924453,7779500.696901271,7779623.215637378,7779623.190452026,7779621.077442026,7779613.878986645,7779467.056567717,7777296.859349188,5873774.842407166,7610093.3046433125,7760957.237144141,1825986.2970709784,7779614.878986606,7779467.056567717,7777394.859349188,5965107.532407168,7619270.304643313,0.0,7761901.627144142,1825986.2970709784,7731428.68081912,7429983.14144941,3737184.740328328,7779623.220184284,425,0.00491898,452,3560721.3722703964,3916793.509497436,9426.36915885,10369.006074735,4000.0,4400.0,11.026111745880218,,
18,2018-01-05,70,169,285,495,119,272,485,82,237,632,492,483,285,166,15,230,75,271,113,1,167.0,18.0,232.0,77.0,0.0,272.0,115.0,1.0,1614335580,7621464.449932883,1.28432652,8421899.431202717,6557444.167898661,102648.99,112913.88900000001,0.997992071329,2.19858884,,6.47164371929033e-05,1.1,,,2.120079e-06,6928604.045393532,6928604.045393532,3276971.585686753,6928604.045393532,6928604.045393532,6928604.045393532,6928604.045393532,6928604.045393532,6928604.045393532,5210604.534375646,6928604.045393532,6928604.045393532,90.49579,7654153.052597157,7656270.058208598,7656272.208031666,7640898.961702274,7656263.859753179,7656272.188468493,7548381.786109486,7656157.372591537,7656272.2051124945,7656272.171218597,7656270.058208598,7656262.859753216,7656096.093005682,7653880.901497154,5575194.749014862,7487920.750869045,7635530.193122272,1837156.2970709782,7656263.859753179,7656116.0373342885,7653978.901497154,5855099.177071575,7506912.013833717,0.0,7637427.963182272,1837156.2970709782,7617705.690204302,7338343.35752357,3938735.5840604543,7656272.210184285,444,0.00513889,449,3482357.440816967,3830593.184898664,9556.52384161,10512.176225771,4000.0,4400.0,11.764194336203305,,
19,2018-01-06,48,167,285,496,117,272,485,74,234,640,493,483,285,164,15,229,70,271,111,1,165.0,17.0,231.0,72.0,0.0,272.0,113.0,1.0,1614335580,7803265.838927242,1.3077218000000002,8822402.831202714,6746391.17114987,368219.0,405040.9,0.9979915554790001,6.85279286,,6.431398591335926e-05,1.1,,,1.898886e-06,7093878.035388401,7093878.035388401,3550253.8736600485,7093878.035388401,7093878.035388401,7093878.035388401,7093878.035388401,7093878.035388401,7093878.035388401,5353467.56463519,7093878.035388401,7093878.035388401,88.448306,8018199.332092622,8020364.049784376,8020366.208025815,8004257.749616013,8020357.851328957,8020366.180754105,7882960.976057749,8020237.9741673125,8020366.205106643,8020366.162794375,8020364.049784376,8020356.851328997,8020192.389505152,8017927.180992624,6108714.1064209165,7846741.82481194,7998794.767059517,1969720.0596412446,8020357.851328957,8020212.333833759,8018025.180992625,6295233.6385435825,7865733.087776609,0.0,8000692.537119515,1969720.0596412446,7985488.250641547,7775498.50362224,4401978.040739933,8020366.210184283,155,0.00179398,156,1170379.1971124294,1287417.1168236725,9368.33407764,10305.167485404001,4000.0,4400.0,11.412363461828766,,
